iter	Passed	Remaining
0	74	74376
1	75	37433
2	75	25119
3	76	18952
4	76	15263
5	77	12803
6	77	11039
7	78	9719
8	78	8691
9	79	7862
10	79	7183
11	80	6624
12	81	6152
13	81	5755
14	82	5402
15	82	5097
16	83	4826
17	84	4584
18	84	4366
19	85	4167
20	85	3990
21	86	3828
22	86	3684
23	87	3550
24	87	3429
25	88	3316
26	89	3211
27	89	3113
28	90	3021
29	90	2934
30	91	2853
31	91	2777
32	92	2706
33	92	2640
34	93	2577
35	94	2518
36	94	2461
37	95	2412
38	95	2365
39	96	2316
40	97	2269
41	97	2225
42	98	2183
43	98	2142
44	99	2104
45	99	2068
46	100	2033
47	100	1999
48	101	1965
49	101	1935
50	102	1905
51	102	1876
52	103	1849
53	104	1823
54	104	1799
55	105	1773
56	105	1748
57	107	1742
58	107	1720
59	108	1697
60	108	1676
61	109	1657
62	110	1638
63	110	1619
64	111	1602
65	112	1586
66	112	1570
67	113	1553
68	113	1537
69	114	1522
70	115	1505
71	115	1489
72	116	1474
73	116	1459
74	117	1444
75	117	1430
76	118	1416
77	118	1402
78	119	1389
79	119	1376
80	120	1364
81	120	1352
82	121	1337
83	121	1325
84	122	1315
85	122	1304
86	123	1293
87	123	1282
88	124	1272
89	124	1262
90	125	1252
91	125	1242
92	126	1233
93	127	1224
94	127	1214
95	127	1205
96	128	1196
97	128	1187
98	129	1178
99	129	1169
100	130	1161
101	131	1153
102	131	1145
103	131	1136
104	132	1129
105	133	1122
106	133	1115
107	134	1108
108	134	1101
109	135	1094
110	135	1087
111	136	1081
112	136	1074
113	137	1067
114	137	1061
115	138	1055
116	138	1047
117	139	1041
118	139	1035
119	140	1029
120	140	1023
121	141	1016
122	141	1010
123	142	1005
124	142	1000
125	143	994
126	143	988
127	144	983
128	144	978
129	145	973
130	145	968
131	146	962
132	146	958
133	147	953
134	147	948
135	148	943
136	149	939
137	149	934
138	150	929
139	150	924
140	151	920
141	151	914
142	151	910
143	152	906
144	152	902
145	153	897
146	154	893
147	154	889
148	155	885
149	155	882
150	156	878
151	156	874
152	157	870
153	157	866
154	158	863
155	158	859
156	159	855
157	159	851
158	160	848
159	160	844
160	161	840
161	161	837
162	162	833
163	162	830
164	163	827
165	164	824
166	164	821
167	165	818
168	165	815
169	166	812
170	167	809
171	167	806
172	168	803
173	168	800
174	169	797
175	169	794
176	170	791
177	170	788
178	171	785
179	171	782
180	172	779
181	172	776
182	173	773
183	173	771
184	174	768
185	174	765
186	175	762
187	175	760
188	176	757
189	177	754
190	177	751
191	177	749
192	178	746
193	179	744
194	179	741
195	180	739
196	180	736
197	181	733
198	181	731
199	182	728
200	182	726
201	183	723
202	183	721
203	184	719
204	184	716
205	185	714
206	185	712
207	186	710
208	187	707
209	187	705
210	188	703
211	188	701
212	189	699
213	189	696
214	190	694
215	190	692
216	191	690
217	191	688
218	192	686
219	193	684
220	193	682
221	194	680
222	194	678
223	195	675
224	195	673
225	196	671
226	196	669
227	197	667
228	197	665
229	198	663
230	198	661
231	199	660
232	200	658
233	200	656
234	201	655
235	201	653
236	202	651
237	202	649
238	203	647
239	203	645
240	204	643
241	205	642
242	205	640
243	206	638
244	206	637
245	207	635
246	208	634
247	208	632
248	209	631
249	209	629
250	210	628
251	211	626
252	211	624
253	212	623
254	212	621
255	213	619
256	213	618
257	214	616
258	214	615
259	215	613
260	216	612
261	216	610
262	217	608
263	217	607
264	218	605
265	219	604
266	219	603
267	220	601
268	220	600
269	221	598
270	222	597
271	222	595
272	223	594
273	223	592
274	224	591
275	224	589
276	225	588
277	226	587
278	226	585
279	227	584
280	227	583
281	228	581
282	229	581
283	229	579
284	230	578
285	231	576
286	231	575
287	232	574
288	232	572
289	233	571
290	233	569
291	234	568
292	235	567
293	235	565
294	236	564
295	236	563
296	237	561
297	238	560
298	238	559
299	239	558
300	239	556
301	240	555
302	240	553
303	241	552
304	241	551
305	242	549
306	242	548
307	243	546
308	243	545
309	244	544
310	245	542
311	245	541
312	246	539
313	246	538
314	247	537
315	247	536
316	248	534
317	248	533
318	249	532
319	249	530
320	250	529
321	250	528
322	251	527
323	252	526
324	252	525
325	253	524
326	254	523
327	255	522
328	255	521
329	256	520
330	256	518
331	257	517
332	257	516
333	258	514
334	258	513
335	259	512
336	259	511
337	260	509
338	260	508
339	261	507
340	261	506
341	262	504
342	263	504
343	263	502
344	264	501
345	264	500
346	265	499
347	266	498
348	266	497
349	267	495
350	267	494
351	268	493
352	268	492
353	269	491
354	269	490
355	270	488
356	270	487
357	271	486
358	271	485
359	272	483
360	272	482
361	273	481
362	273	480
363	274	479
364	274	478
365	275	477
366	275	475
367	276	474
368	276	473
369	277	472
370	278	471
371	278	470
372	279	469
373	279	468
374	280	467
375	280	466
376	281	465
377	281	464
378	282	462
379	283	461
380	283	460
381	284	459
382	284	458
383	285	457
384	285	456
385	286	455
386	286	454
387	287	453
388	287	452
389	288	451
390	289	450
391	289	449
392	290	448
393	290	447
394	291	446
395	291	445
396	292	444
397	292	443
398	293	441
399	293	440
400	294	439
401	295	438
402	295	438
403	296	436
404	296	435
405	297	434
406	297	433
407	298	432
408	298	431
409	299	430
410	300	430
411	300	429
412	301	428
413	302	428
414	302	427
415	303	426
416	304	425
417	304	424
418	305	423
419	305	422
420	306	421
421	306	420
422	307	419
423	307	418
424	308	417
425	309	416
426	309	415
427	310	414
428	310	413
429	311	412
430	311	411
431	312	410
432	312	409
433	313	408
434	313	407
435	314	406
436	314	405
437	315	404
438	316	404
439	316	403
440	317	402
441	317	401
442	318	400
443	318	399
444	319	398
445	319	397
446	320	396
447	320	395
448	321	394
449	322	393
450	322	392
451	323	391
452	324	391
453	324	390
454	325	389
455	325	388
456	326	387
457	326	386
458	327	385
459	327	384
460	328	384
461	328	383
462	329	382
463	330	381
464	330	380
465	331	379
466	332	379
467	332	378
468	333	377
469	333	376
470	334	375
471	334	374
472	335	373
473	335	372
474	336	371
475	336	370
476	337	370
477	338	369
478	338	368
479	339	367
480	339	366
481	340	365
482	340	364
483	341	363
484	341	363
485	342	362
486	342	361
487	343	360
488	343	359
489	344	358
490	345	357
491	345	356
492	346	356
493	346	355
494	347	354
495	347	353
496	348	352
497	348	351
498	349	350
499	349	349
500	350	348
501	350	348
502	351	347
503	351	346
504	352	345
505	352	344
506	353	343
507	354	342
508	354	342
509	355	341
510	355	340
511	356	339
512	358	340
513	358	339
514	359	338
515	359	337
516	360	336
517	361	336
518	361	335
519	362	334
520	362	333
521	363	332
522	363	331
523	364	330
524	364	329
525	365	329
526	365	328
527	366	327
528	366	326
529	367	325
530	367	324
531	368	324
532	368	323
533	369	322
534	369	321
535	370	320
536	370	319
537	371	319
538	372	318
539	372	317
540	373	316
541	373	315
542	374	314
543	374	314
544	375	313
545	375	312
546	376	311
547	376	310
548	377	310
549	378	309
550	378	308
551	379	307
552	379	306
553	380	306
554	380	305
555	381	304
556	381	303
557	382	302
558	382	302
559	383	301
560	383	300
561	384	299
562	384	298
563	385	297
564	385	297
565	386	296
566	387	295
567	387	294
568	387	293
569	388	293
570	388	292
571	389	291
572	390	290
573	390	289
574	391	289
575	391	288
576	392	287
577	392	286
578	393	285
579	393	285
580	394	284
581	394	283
582	395	282
583	395	281
584	396	281
585	396	280
586	397	279
587	397	278
588	398	278
589	398	277
590	399	276
591	399	275
592	400	274
593	401	274
594	401	273
595	402	272
596	402	271
597	403	271
598	403	270
599	404	269
600	404	268
601	405	267
602	405	267
603	406	266
604	406	265
605	407	264
606	407	264
607	408	263
608	408	262
609	410	262
610	410	261
611	411	260
612	411	259
613	412	259
614	412	258
615	413	257
616	413	256
617	414	256
618	414	255
619	415	254
620	415	253
621	416	253
622	417	252
623	417	251
624	418	250
625	418	250
626	419	249
627	419	248
628	420	247
629	420	247
630	421	246
631	421	245
632	422	244
633	422	244
634	423	243
635	423	242
636	424	241
637	424	240
638	425	240
639	425	239
640	426	238
641	427	238
642	427	237
643	428	236
644	428	235
645	429	235
646	429	234
647	430	233
648	430	232
649	431	232
650	431	231
651	432	230
652	432	229
653	433	229
654	433	228
655	434	227
656	435	227
657	435	226
658	436	225
659	436	224
660	437	224
661	437	223
662	438	222
663	438	222
664	439	221
665	440	220
666	441	220
667	442	219
668	443	219
669	443	218
670	444	217
671	444	217
672	445	216
673	446	215
674	447	215
675	447	214
676	448	213
677	448	213
678	449	212
679	450	211
680	450	211
681	451	210
682	452	209
683	452	209
684	453	208
685	454	207
686	454	207
687	455	206
688	455	205
689	456	205
690	457	204
691	457	203
692	458	202
693	458	202
694	459	201
695	459	200
696	460	200
697	461	199
698	462	199
699	463	198
700	463	197
701	464	197
702	464	196
703	465	195
704	465	194
705	466	194
706	466	193
707	467	192
708	468	192
709	468	191
710	469	190
711	470	190
712	470	189
713	471	188
714	471	188
715	472	187
716	472	186
717	473	185
718	473	185
719	474	184
720	474	183
721	475	183
722	476	182
723	476	181
724	477	180
725	477	180
726	478	179
727	479	179
728	479	178
729	480	177
730	480	176
731	481	176
732	482	175
733	482	174
734	483	174
735	483	173
736	484	172
737	485	172
738	485	171
739	486	170
740	486	170
741	487	169
742	487	168
743	488	168
744	489	167
745	489	166
746	490	166
747	490	165
748	491	164
749	492	164
750	492	163
751	493	162
752	494	162
753	494	161
754	495	160
755	496	160
756	496	159
757	497	158
758	497	158
759	498	157
760	499	156
761	499	156
762	500	155
763	500	154
764	501	154
765	501	153
766	502	152
767	503	152
768	503	151
769	504	150
770	504	149
771	505	149
772	505	148
773	506	147
774	507	147
775	507	146
776	508	145
777	508	145
778	509	144
779	509	143
780	510	143
781	511	142
782	511	141
783	512	141
784	512	140
785	513	139
786	513	139
787	514	138
788	514	137
789	515	137
790	515	136
791	516	135
792	517	134
793	517	134
794	518	133
795	518	132
796	519	132
797	519	131
798	520	130
799	521	130
800	521	129
801	522	128
802	522	128
803	523	127
804	523	126
805	524	126
806	525	125
807	525	124
808	526	124
809	526	123
810	527	122
811	527	122
812	528	121
813	528	120
814	529	120
815	530	119
816	530	118
817	531	118
818	531	117
819	532	116
820	533	116
821	533	115
822	534	114
823	534	114
824	535	113
825	535	112
826	536	112
827	537	111
828	537	110
829	538	110
830	539	109
831	539	109
832	540	108
833	541	107
834	542	107
835	543	106
836	543	105
837	544	105
838	545	104
839	545	103
840	546	103
841	547	102
842	547	102
843	548	101
844	548	100
845	549	100
846	550	99
847	550	98
848	551	98
849	552	97
850	552	96
851	553	96
852	553	95
853	554	94
854	554	94
855	555	93
856	555	92
857	556	92
858	556	91
859	557	90
860	558	90
861	558	89
862	559	88
863	559	88
864	560	87
865	561	86
866	561	86
867	562	85
868	562	84
869	563	84
870	563	83
871	564	82
872	564	82
873	565	81
874	565	80
875	566	80
876	567	79
877	567	78
878	568	78
879	569	77
880	569	76
881	570	76
882	570	75
883	571	74
884	572	74
885	572	73
886	573	73
887	573	72
888	574	71
889	574	71
890	575	70
891	575	69
892	576	69
893	577	68
894	577	67
895	578	67
896	578	66
897	579	65
898	580	65
899	580	64
900	581	63
901	581	63
902	582	62
903	582	61
904	583	61
905	584	60
906	585	60
907	586	59
908	586	58
909	587	58
910	588	57
911	588	56
912	589	56
913	589	55
914	590	54
915	590	54
916	591	53
917	591	52
918	592	52
919	592	51
920	593	50
921	593	50
922	594	49
923	595	48
924	595	48
925	596	47
926	597	47
927	597	46
928	598	45
929	598	45
930	599	44
931	600	43
932	600	43
933	601	42
934	601	41
935	602	41
936	602	40
937	603	39
938	603	39
939	604	38
940	604	37
941	605	37
942	606	36
943	606	35
944	607	35
945	607	34
946	608	34
947	609	33
948	609	32
949	610	32
950	610	31
951	611	30
952	611	30
953	612	29
954	612	28
955	613	28
956	614	27
957	614	26
958	615	26
959	615	25
960	616	25
961	617	24
962	617	23
963	618	23
964	618	22
965	619	21
966	619	21
967	620	20
968	620	19
969	621	19
970	622	18
971	622	17
972	623	17
973	623	16
974	624	16
975	625	15
976	625	14
977	626	14
978	626	13
979	627	12
980	627	12
981	628	11
982	628	10
983	629	10
984	629	9
985	630	8
986	631	8
987	631	7
988	632	7
989	632	6
990	633	5
991	633	5
992	634	4
993	634	3
994	635	3
995	636	2
996	636	1
997	637	1
998	637	0
999	638	0
